origin_id,destination_id,origin_name,destination_name,trade_flow,output_origin,output_dest,distance,border_dummy,z,ln_z,ln_d
33,40,British Columbia,Prince Edward Island,0.0184543183288327,29.5851765799779,0.800293868141494,4.71591766910038,1,0.000779425037733742,-7.15695404120595,1.5509435247408
34,1,Alberta,California,1.11275810597442,34.9557956835521,311.788151135872,1.78839240979316,0,0.000102099112664249,-9.18956652368109,0.581317121236026
34,2,Alberta,Texas,0.391289212359287,34.9557956835521,172.301016058214,3.02338975365482,0,6.49667055114147e-05,-9.64163564220091,1.10637863691264
34,3,Alberta,New York,0.330010716117529,34.9557956835521,160.712949421183,3.24815021402013,0,5.87432511495411e-05,-9.7423342855889,1.17808566938893
34,4,Alberta,Florida,0.253260075046087,34.9557956835521,111.128924919824,3.54471116275997,0,6.51959211850115e-05,-9.63811364950062,1.26545667930496
34,5,Alberta,Illinois,0.178246609407332,34.9557956835521,93.9504414561401,2.71432817490515,0,5.4275428410349e-05,-9.82143894890359,0.99854447337488
34,6,Alberta,Pennsylvania,0.119193544692865,34.9557956835521,78.7697033619914,3.32469795525059,0,4.32886790176527e-05,-10.0476194116987,1.20137882945543
34,7,Alberta,Ohio,0.128076558594498,34.9557956835521,76.7306987773846,3.02748447844225,0,4.77508716983201e-05,-9.94951323574196,1.10773206957557
34,8,Alberta,Georgia,0.121686573310201,34.9557956835521,67.4027866016032,3.68275650508484,0,5.16470615656602e-05,-9.87107725529173,1.30366152207747
34,9,Alberta,North Carolina,0.0963046127212844,34.9557956835521,59.7711828178123,3.74047640437855,0,4.60931136912941e-05,-9.98484699674881,1.31921298416407
34,10,Alberta,Michigan,0.12112736327281,34.9557956835521,53.8132927001357,2.26127625224975,0,6.43922358417935e-05,-9.65051749358492,0.815929367278442
34,11,Alberta,New Jersey,0.114882809039544,34.9557956835521,62.9613142099613,3.67737836856056,0,5.21989863188801e-05,-9.86044748244278,1.30220009845581
34,12,Alberta,Virginia,0.112658194111138,34.9557956835521,57.5195467812245,3.01880665199458,0,5.60309695711743e-05,-9.7896059920361,1.10486160494893
34,13,Alberta,Washington,0.471724650661562,34.9557956835521,59.2628669361555,0.881745144037539,0,0.000227712421675536,-8.38742703356946,-0.125852217068507
34,14,Alberta,Arizona,0.112201825447625,34.9557956835521,36.4774231728765,2.22136844117742,0,8.79947129654067e-05,-9.3382338252295,0.798123420923318
34,15,Alberta,Massachusetts,0.104360192660496,34.9557956835521,58.7765310639652,3.61922586459384,0,5.07939198236669e-05,-9.88773389905357,1.28626015340889
34,16,Alberta,Tennessee,0.0760991863471221,34.9557956835521,41.9039632458563,2.83333883393629,0,5.19524126611812e-05,-9.86518239951127,1.04145581621555
34,17,Alberta,Indiana,0.0741455355390886,34.9557956835521,37.459933843628,2.79984199030541,0,5.66237734984306e-05,-9.77908163446753,1.02956298355503
34,18,Alberta,Missouri,0.0581644644699715,34.9557956835521,32.7281622930324,2.56942580567465,0,5.08413321554811e-05,-9.88680090908542,0.943682452028254
34,19,Alberta,Maryland,0.0735356579126133,34.9557956835521,45.2839623645765,3.0492861555608,0,4.64552037626359e-05,-9.9770220696437,1.11490751586885
34,20,Alberta,Wisconsin,0.0834304191311973,34.9557956835521,35.2227931096781,2.28935561595785,0,6.77612550574736e-05,-9.59951998569234,0.828270387557017
34,21,Alberta,Colorado,0.136026292438739,34.9557956835521,41.0752076684106,1.93095550990014,0,9.47379321098584e-05,-9.26439608770859,0.658014963253527
34,22,Alberta,Minnesota,0.146279662004414,34.9557956835521,42.7954543526223,1.76810382856414,0,9.77838459080135e-05,-9.23275116933104,0.569907689054542
34,23,Alberta,South Carolina,0.0520803783454888,34.9557956835521,26.1222766243032,3.60047958334544,0,5.7035324158299e-05,-9.77183976000273,1.28106705418534
34,24,Alberta,Alabama,0.04435796657081,34.9557956835521,25.5551175533879,3.13510408030155,0,4.96563226179986e-05,-9.91038483181429,1.14266237299202
34,25,Alberta,Louisiana,0.0587144242344146,34.9557956835521,26.1122169128511,3.12861633182727,0,6.43253072763395e-05,-9.65155742287294,1.140590840303
34,26,Alberta,Kentucky,0.0356618649193978,34.9557956835521,21.221019220954,2.72007037021115,0,4.80749254762231e-05,-9.9427498166472,1.0006577513744
34,27,Alberta,Oregon,0.125152949502391,34.9557956835521,24.3089432781116,1.18121013939638,0,0.000147284083517391,-8.82314729520579,0.166539454830114
34,28,Alberta,Oklahoma,0.0368320773082741,34.9557956835521,18.9130529235158,2.60271036025548,0,5.57115682072443e-05,-9.79532274485288,0.956553348309763
34,29,Alberta,Connecticut,0.0458545413779456,34.9557956835521,28.762284278333,3.42343593023887,0,4.56078697265431e-05,-9.99543027461201,1.23064470470804
34,30,Alberta,Iowa,0.0434677731054251,34.9557956835521,20.523904495418,1.91689738134404,0,6.05882228523561e-05,-9.71141002614629,0.650707931772066
34,31,Alberta,Ontario,2.63318114615077,34.9557956835521,73.4736790391212,2.1766259812621,1,0.00102524995249714,-6.88281884002505,0.777775962835477
34,32,Alberta,Quebec,1.52602785953958,34.9557956835521,44.4033105541158,3.0101062264462,1,0.000983168417676469,-6.92473012220104,1.1019753693162
34,33,Alberta,British Columbia,3.39693206962977,34.9557956835521,29.5851765799779,0.592618480227041,1,0.00328468331300221,-5.71848503564943,-0.523204459335594
34,34,Alberta,Alberta,3.48178364937986,34.9557956835521,34.9557956835521,0.721952672445848,1,0.00284946546005393,-5.86062386016857,-0.325795692866866
34,35,Alberta,Manitoba,0.492038101409796,34.9557956835521,6.89616240641416,1.18096721547941,1,0.00204113655740841,-6.19424849028413,0.166333776863276
34,36,Alberta,Saskatchewan,0.765041094343285,34.9557956835521,7.69961795675594,0.589287993846075,1,0.00284247330742028,-5.86308072291304,-0.528840260931296
34,37,Alberta,Nova Scotia,0.117017038688766,34.9557956835521,3.94108104557025,3.70093629056258,1,0.000849404476014399,-7.07097507047996,1.30858583914145
34,38,Alberta,New Brunswick,0.0961088683158998,34.9557956835521,3.77537241418199,3.21482620744891,1,0.000728256673450268,-7.22485699848629,1.16777329944741
34,39,Alberta,Newfoundland and Labrador,0.0998117321376478,34.9557956835521,3.26649601092233,3.77957073313339,1,0.000874138539408536,-7.04227168296134,1.32961044051965
34,40,Alberta,Prince Edward Island,0.0249522025991665,34.9557956835521,0.800293868141494,3.30473244691963,1,0.000891949376896905,-7.02210117935247,1.1953555159933
35,1,Manitoba,California,0.166326086731584,6.89616240641416,311.788151135872,2.51286076487557,0,7.73558713231355e-05,-9.46709407790302,0.921421851087598
35,2,Manitoba,Texas,0.0787592297259759,6.89616240641416,172.301016058214,2.8936575735051,0,6.62836080955356e-05,-9.62156792971895,1.06252129830088
35,3,Manitoba,New York,0.0811070107137149,6.89616240641416,160.712949421183,2.10514409585501,0,7.31812870529067e-05,-9.52257081103256,0.744383918879362
35,4,Manitoba,Florida,0.0443297370613307,6.89616240641416,111.128924919824,3.46413499669181,0,5.78442989156352e-05,-9.75775565860812,1.24246296127218
35,5,Manitoba,Illinois,0.0474745277053592,6.89616240641416,93.9504414561401,1.64872080833083,0,7.32747502913239e-05,-9.52129447920221,0.499999719558804
35,6,Manitoba,Pennsylvania,0.0362640246537526,6.89616240641416,78.7697033619914,2.31346549062621,0,6.67589212964214e-05,-9.61442261723375,0.838746612731602
35,7,Manitoba,Ohio,0.0355319620798838,6.89616240641416,76.7306987773846,2.02043597162706,0,6.714946486355e-05,-9.60858960429633,0.703313315663848
35,8,Manitoba,Georgia,0.0266335675119242,6.89616240641416,67.4027866016032,2.71537102984628,0,5.72985999956419e-05,-9.7672343674279,0.998928603292442
35,9,Manitoba,North Carolina,0.0226725054697396,6.89616240641416,59.7711828178123,2.50950529451601,0,5.50047486470742e-05,-9.80809103742109,0.920085639899832
35,10,Manitoba,Michigan,0.0342431879151865,6.89616240641416,53.8132927001357,1.48731408532728,0,9.22735314778421e-05,-9.29075322380132,0.396971865972483
35,11,Manitoba,New Jersey,0.027981140174358,6.89616240641416,62.9613142099613,2.297826438559,0,6.44442452654323e-05,-9.64971012247361,0.831963649402357
35,12,Manitoba,Virginia,0.0236442331207202,6.89616240641416,57.5195467812245,2.41737639529671,0,5.96076906533796e-05,-9.72772595440925,0.882682817895137
35,13,Manitoba,Washington,0.0503143788871308,6.89616240641416,59.2628669361555,1.85798165454715,0,0.000123112451061809,-9.00241238397643,0.619490766579255
35,14,Manitoba,Arizona,0.0183439437064609,6.89616240641416,36.4774231728765,2.6227238150062,0,7.292242069617e-05,-9.52611441210346,0.96421340178635
35,15,Manitoba,Massachusetts,0.0259767289169292,6.89616240641416,58.7765310639652,2.44929991680492,0,6.40874557722655e-05,-9.65526191096953,0.895802235479937
35,16,Manitoba,Tennessee,0.0179014233928444,6.89616240641416,41.9039632458563,2.46749645646327,0,6.19476710450412e-05,-9.68922054470329,0.903204056240689
35,17,Manitoba,Indiana,0.0175931544865071,6.89616240641416,37.459933843628,1.72091073768179,0,6.8103468266122e-05,-9.5944824170877,0.54285364934262
35,18,Manitoba,Missouri,0.0162156750350903,6.89616240641416,32.7281622930324,1.76728955522808,0,7.18465521650076e-05,-9.54097793315977,0.569447048179788
35,19,Manitoba,Maryland,0.0176754152440826,6.89616240641416,45.2839623645765,2.50101640998283,0,5.66001684737644e-05,-9.77949859619129,0.91669721324254
35,20,Manitoba,Wisconsin,0.025036005251188,6.89616240641416,35.2227931096781,1.29126113315779,0,0.000103070352528063,-9.18009876864333,0.25561936341477
35,21,Manitoba,Colorado,0.0238413914738195,6.89616240641416,41.0752076684106,1.921271896532,0,8.41674850210954e-05,-9.38270187494132,0.652987412829535
35,22,Manitoba,Minnesota,0.0393591654295148,6.89616240641416,42.7954543526223,1.12223572935272,0,0.000133364658992876,-8.92242338467249,0.115322882495437
35,23,Manitoba,South Carolina,0.00947345807259522,6.89616240641416,26.1222766243032,2.80680158064749,0,5.25884090714497e-05,-9.85301482236178,1.03204560754515
35,24,Manitoba,Alabama,0.00970938230015607,6.89616240641416,25.5551175533879,2.83132085618852,0,5.50942452248864e-05,-9.80646528963945,1.0407433364044
35,25,Manitoba,Louisiana,0.0122923686629385,6.89616240641416,26.1122169128511,2.52187027699524,0,6.82628397953761e-05,-9.59214501272324,0.925000799659649
35,26,Manitoba,Kentucky,0.00925975626974306,6.89616240641416,21.221019220954,2.2913485403603,0,6.32740795466802e-05,-9.6680347985108,0.829140526496443
35,27,Manitoba,Oregon,0.0173027935155345,6.89616240641416,24.3089432781116,2.10048856089999,0,0.0001032149637036,-9.17869671829997,0.74216996571863
35,28,Manitoba,Oklahoma,0.00688053392153609,6.89616240641416,18.9130529235158,1.9550521919836,0,5.27537117246381e-05,-9.84987642363545,0.670416889747783
35,29,Manitoba,Connecticut,0.0109590824226768,6.89616240641416,28.762284278333,2.15285920405462,0,5.52514065122113e-05,-9.80361676065585,0.766796821006807
35,30,Manitoba,Iowa,0.0116148869354442,6.89616240641416,20.523904495418,1.34407171666743,0,8.20630247981287e-05,-9.40802301081884,0.295703601292976
35,31,Manitoba,Ontario,0.857987894189511,6.89616240641416,73.4736790391212,0.98038798186752,1,0.00169333113108753,-6.38105760659956,-0.0198068858003763
35,32,Manitoba,Quebec,0.372947022003453,6.89616240641416,44.4033105541158,1.87100534022395,1,0.00121793556404769,-6.71059801417457,0.626475901496295
35,33,Manitoba,British Columbia,0.248332313821624,6.89616240641416,29.5851765799779,1.70322180766969,1,0.0012171709782479,-6.71122598326884,0.532521638454621
35,34,Manitoba,Alberta,0.41651787843444,6.89616240641416,34.9557956835521,0.991225446787984,1,0.0017278537293165,-6.36087525956935,-0.0088132762889303
35,35,Manitoba,Manitoba,0.259028789334308,6.89616240641416,6.89616240641416,0.252468406804131,1,0.00544669522194261,-5.21274623552541,-1.37646915966288
35,36,Manitoba,Saskatchewan,0.15527704828444,6.89616240641416,7.69961795675594,0.575455566263765,1,0.00292435848181145,-5.83468014481063,-0.552593262725784
35,37,Manitoba,Nova Scotia,0.030745507272423,6.89616240641416,3.94108104557025,2.5632246434106,1,0.00113125058368271,-6.78443154698766,0.94126609216006
35,38,Manitoba,New Brunswick,0.0261919289306832,6.89616240641416,3.77537241418199,2.58551514906112,1,0.00100600515179244,-6.90176808625166,0.949924772075464
35,39,Manitoba,Newfoundland and Labrador,0.0278704761836865,6.89616240641416,3.26649601092233,2.39887527569621,1,0.00123724234688762,-6.69487028973426,0.87499999238356
35,40,Manitoba,Prince Edward Island,0.00544351357205263,6.89616240641416,0.800293868141494,2.58353312544716,1,0.000986330220997656,-6.92151934969745,0.949157890589422
36,1,Saskatchewan,California,0.20330226892947,7.69961795675594,311.788151135872,2.02232430053896,0,8.46863552819887e-05,-9.37655606394706,0.704247493761039
36,2,Saskatchewan,Texas,0.0786275528559836,7.69961795675594,172.301016058214,2.53246667326189,0,5.92676549851753e-05,-9.73344684790126,0.929193797433932
36,3,Saskatchewan,New York,0.0689137664212609,7.69961795675594,160.712949421183,2.8180391716736,0,5.56911182610968e-05,-9.79568988045841,1.0360413139028
36,4,Saskatchewan,Florida,0.0457995190824609,7.69961795675594,111.128924919824,3.48172623714798,0,5.35259800780401e-05,-9.83534341299685,1.24752821595412
36,5,Saskatchewan,Illinois,0.047962054897264,7.69961795675594,93.9504414561401,1.99648791393975,0,6.63024810443837e-05,-9.62128323998871,0.691389593878848
36,6,Saskatchewan,Pennsylvania,0.0302716856537123,7.69961795675594,78.7697033619914,2.58084752936329,0,4.99123730173649e-05,-9.90524162968306,0.948117844742509
36,7,Saskatchewan,Ohio,0.0316380321012805,7.69961795675594,76.7306987773846,2.19511760225656,0,5.35514373961725e-05,-9.83486791929869,0.786235622429761
